高管姓名,性别,年龄,股票代码,职位,:LABEL,PersonId:ID
王建章,男,72,300168,独立董事,人,1000524
华建飞,男,49,603618,"董事长,董事",人,1000525
陆春校,男,50,603618,"副董事长,董事",人,1000526
倪益剑,男,50,603618,董事,人,1000527
郑秀花,女,52,603618,董事,人,1000528
章勤英,女,53,603618,董事,人,1000529
卢献庭,男,48,603618,董事,人,1000530
王进,男,48,603618,独立董事,人,1000531
陈丹红,女,54,603618,独立董事,人,1000532
阎孟昆,男,53,603618,独立董事,人,1000533
熊炜,男,50,600872,"董事长,董事",人,1000534
李常谨,男,48,600872,董事,人,1000535
邓春华,男,56,600872,董事,人,1000536
刘社梅,男,55,600872,董事,人,1000537
叶伟青,女,46,600872,董事,人,1000538
钱逢胜,男,54,600872,独立董事,人,1000539
陈燕维,女,40,600872,独立董事,人,1000540
王晋斌,男,51,600872,独立董事,人,1000541
陈保华,男,,600521,"董事长,董事",人,1000542
杜军,男,62,600521,"副董事长,董事",人,1000543
祝永华,男,53,600521,董事,人,1000544
郭斯嘉,男,55,600521,董事,人,1000545
苏严,男,46,600521,董事,人,1000546
单伟光,男,57,600521,董事,人,1000547
费忠新,男,64,600521,独立董事,人,1000548
曾苏,男,59,600521,独立董事,人,1000549
王玉民,男,63,600521,独立董事,人,1000550
刘正军,男,51,300187,"董事长,董事",人,1000551
申晓东,男,56,300187,"代董事长,董事",人,1000552
王峰,女,35,300187,董事,人,1000553
冯延林,男,61,300187,董事,人,1000554
刘仁和,男,52,300187,董事,人,1000555
袁定江,男,50,300187,独立董事,人,1000556
洪源,男,37,300187,独立董事,人,1000557
曹越,男,37,300187,独立董事,人,1000558
陈宗年,男,53,002415,"董事长,董事",人,1000559
龚虹嘉,男,53,002415,"副董事长,董事",人,1000560
胡扬忠,男,53,002415,董事,人,1000561
邬伟琪,男,54,002415,董事,人,1000562
屈力扬,男,54,002415,董事,人,1000563
洪天峰,男,52,002415,独立董事,人,1000564
陆建忠,男,64,002415,独立董事,人,1000565
程天纵,男,66,002415,独立董事,人,1000566
王志东,男,51,002415,独立董事,人,1000567
蒋利亚,男,44,000428,"董事长,董事",人,1000568
侯跃,男,45,000428,"副董事长,董事",人,1000569
李征兵,男,48,000428,董事,人,1000570
向军,男,50,000428,董事,人,1000571
周志宏,男,52,000428,独立董事,人,1000572
陈爱文,男,55,000428,独立董事,人,1000573
许长龙,男,56,000428,独立董事,人,1000574
张超,男,40,000428,独立董事,人,1000575
赵晓强,男,46,000428,独立董事,人,1000576
董浩然,男,53,600171,"董事长,董事",人,1000577
马玉川,男,53,600171,董事,人,1000578
刘劲梅,女,49,600171,董事,人,1000579
李荣信,男,48,600171,董事,人,1000580
金玉丰,男,57,600171,独立董事,人,1000581
王均行,男,65,600171,独立董事,人,1000582
俞建春,男,56,600171,独立董事,人,1000583
周小溪,男,59,000582,"董事长,董事",人,1000584
黄葆源,男,55,000582,"副董事长,董事",人,1000585
陈斯禄,男,53,000582,董事,人,1000586
罗明,男,50,000582,董事,人,1000587
莫怒,男,47,000582,董事,人,1000588
谢毅,男,54,000582,董事,人,1000589
王运生,男,50,000582,独立董事,人,1000590
周永生,男,55,000582,独立董事,人,1000591
林仁聪,男,50,000582,独立董事,人,1000592
郝旭明,男,55,002045,"董事长,董事",人,1000593
何伟成,男,47,002045,董事,人,1000594
郑崖民,男,48,002045,董事,人,1000595
房晓焱,男,61,002045,董事,人,1000596
周海昌,男,70,002045,董事,人,1000597
肖庆,男,49,002045,董事,人,1000598
